text,option_1,option_2,option_3,option_4
You've been through an ordeal which has left you a vegetable.,Pull the plug!,Keep me alive. There's always hope!,,
Do you believe that humans are the most important animal species on earth?,Yes,No,I'm Not Sure / Maybe,
Can you write a web site in HTML (without using site building software)?,Yes,No,,
Is it okay for a married person to play around with someone with the permission of their spouse?,Yes,No,,
Which of the following would be the best birthday or anniversary date?,Blindfolded and taken somewhere special & new,Classic: movies and dinner,"Something different: sky diving, hiking, etc.",
How long do you believe people need to be in a relationship before before getting married?,At least 2 years,At least 1 year,At least 6 months,Less than 6 months / no requirement
Do you like to wear sexy underwear?,Yes,No,,
"You read a personal ad and it is misspelled, with poor grammar and uncertain capitalization. Do you allow that to affect your opinion of the person?",Yes,No,Maybe / Unsure,
Do you chew gum?,Yes,No,,
"If you had to choose ONLY one, would you rather...",Have great sex,Have great friends,Have great love,Have great ideas
"On weekends / days off, do you like to get out and make the most of the day, or do you prefer to sleep late and relax?",Get up and do something,Sleep late and relax,It varies,
"The person you have been seeing for a while climbs in through your window, crawls in bed with you, and cuddles up. You find this:",Scary,A sign of neediness,Cute,The perfect time to ask them to move in
Would you consider a serious relationship with someone who couldn't have or produce children?,Yes,No,,
Which of these is likely to make you more nervous?,A promising first date,An important interview,,
Would you do a striptease for your mate?,Yes,No,Maybe / Unsure,
Which of the following types of intelligence do you most value?,Logical / Mathematical,Social / Interpersonal,Visual / Spatial / Artistic,
"If the love of your life was dying, and their last request was for you to never get involved in another relationship, would you remain single for them for the rest of your life?",Yes,No,Maybe / Not sure / only if I were really old,
Should college instructors/professors be allowed to voice their political opinions in class?,"Sure, whenever they want.","Yes, provided that doing so is relevant.","It's OK, but only when I agree with them.","Not on your life, pal!"
How do you feel about living with a signficant other before marriage?,Nothing wrong with that.,"Maybe, depending on the situation.",I'm against that.,I'm not sure.
What do you think about people who watch movies purely for the point of making fun of them?,That's so much fun!,That sounds pretty lame.,I don't do it but I suppose it could be fun.,"I hate that. If you don't like it, don't watch it!"
How long does it take to know truly and understand a person you're dating?,Weeks,Months,Years,Who really knows anyone?
Is a sinful or immoral thought just as bad as acting on that thought?,"Yes, it's just as bad.","No, it's not as bad.",A thought can't be sinful or immoral.,I'm not sure.
"If I saw someone do something that deeply offended me or was illegal, I would:",Confront the person.,"Do nothing, move on.",Alert someone with more power.,Blackmail the offender.
Do you stand outside the bathroom door and talk to people while theyre taking care of business?,"No, I would consider it bad manners.",Only if its urgent.,"Sure, why not?",I just barge in!
Would you allow your partner to kiss you after performing oral sex on you?,Allow? I enjoy it.,Yes.,No.,It depends.
I talk about my previous relationships:,All the time,Occasionally,"Almost never, unless explicitly asked about them.","Never, even if explicitly asked about them."
"When it comes to music, do you have a strong preference for male or female vocals?",Yes - male vocals.,Yes - female vocals.,"No, not really.",I prefer instrumental or non-vocal-driven music.
"When you fall in love with someone, do you go ahead and tell them, or do you wait for them to say they love you first?",I go ahead and tell them.,I wait until they say it.,I don't really care.,Never been in love.
Does the idea of living underwater fascinate you?,Yes,No,,
"Suppose you have an attractive cousin, and the cousin is also attracted to you. Suppose both you and your cousin are adults. Would you have non-procreative sex with your cousin?",Yes,No,Maybe,Only if it was a cousin who I didn't grow up with
What do you think about the current trend in historical dating of replacing A.D. (Anno Domini) with C.E. (Common Era)?,It's a travesty!,It upsets me a little.,I really couldn't care less.,Thank goodness!
Do you like wearing formal attire?,"Yes, I love dressing up.","Occasionally,  when I need to.",No / It makes me uncomfortable.,No opinion/Never had to
Could you be in a relationship with someone who had been previously sexually abused?,Yes,Yes - if that didn't affect our sex life.,I'm Not Sure,No
What do you think of reality television?,I love it!,It's alright.,I dislike it.,I have no opinion on reality television
How often do you keep your promises?,Always,Whenever possible,Usually,When convenient
"If your date told you they were in the pornography business, in a non-sexual way (e.g. camera operator, lighting, directing) would it bother you?","Yes, a lot!","Yes, a little.","No, non-sexual's fine.","No, I'd encourage them to join the cast!"
"What if you found out, just before the wedding, that the love of your life was sterile and unable to ever have kids?",Break off the wedding,Continue the wedding and adopt,Continue the wedding and not adopt,Celebrate and get married
Do you find thunderstorms romantic?,"Yes, tremendously.",I guess so.,"Enh, I could care less.",God no!  They're scary!
Do you think it is possible to have more than one soul mate in a single lifetime?,Yes,No,I don't believe in soul mates,
Do you like to spend time with your friends and partner together or only separately?,I like for us all to hang out together.,I like to keep the two separated.,I'm not sure/I don't care.,I like to do both more or less equally.
Do you drink milk and juice straight out of the carton and then put it back in the fridge?,"Yes, I drink it straight from the carton.",Sometimes--if no one else around to see.,Yes. Only because I don't live with anyone else.,"Ewww.  No, that's gross.  I pour it first."
"Have you ever gotten, or would you ever get, a piercing below the belt?",I have.,I would.,I wouldn't.,
